province_code,forecast_year,forecast_month,rainfall_mm,n_runs,province,region_en,season,quarter
47,2024,5,152.0079531,5,สกลนคร,Northeast,Hot,Q2
48,2024,5,184.0033313,5,นครพนม,Northeast,Hot,Q2
49,2024,5,215.9118856,5,มุกดาหาร,Northeast,Hot,Q2
50,2024,5,203.9658946,5,เชียงใหม่,North,Hot,Q2
51,2024,5,208.36128,5,ลำพูน,North,Hot,Q2
52,2024,5,192.6179506,5,ลำปาง,North,Hot,Q2
53,2024,5,225.8049888,5,อุตรดิตถ์,North,Hot,Q2
54,2024,5,198.6009464,5,แพร่,North,Hot,Q2
55,2024,5,176.7972545,5,น่าน,North,Hot,Q2
56,2024,5,195.1799548,5,พะเยา,North,Hot,Q2
57,2024,5,236.37788489999997,5,เชียงราย,North,Hot,Q2
58,2024,5,220.130732,5,แม่ฮ่องสอน,North,Hot,Q2
60,2024,5,163.640061,5,นครสวรรค์,Central,Hot,Q2
61,2024,5,160.1708087,5,อุทัยธานี,Central,Hot,Q2
62,2024,5,212.5530179,5,กำแพงเพชร,North,Hot,Q2
63,2024,5,229.4311515,5,ตาก,North,Hot,Q2
64,2024,5,269.1591103,5,สุโขทัย,North,Hot,Q2
65,2024,5,209.22753430000003,5,พิษณุโลก,North,Hot,Q2
66,2024,5,181.7985808,5,พิจิตร,North,Hot,Q2
67,2024,5,140.4464634,5,เพชรบูรณ์,North,Hot,Q2
70,2024,5,155.1782988,5,ราชบุรี,Central,Hot,Q2
71,2024,5,149.3156937,5,กาญจนบุรี,Central,Hot,Q2
72,2024,5,147.198169,5,สุพรรณบุรี,Central,Hot,Q2
73,2024,5,145.9346173,5,นครปฐม,Central,Hot,Q2
74,2024,5,144.3059058,5,สมุทรสาคร,Central,Hot,Q2
75,2024,5,152.2648407,5,สมุทรสงคราม,Central,Hot,Q2
76,2024,5,136.0760161,5,เพชรบุรี,South,Hot,Q2
77,2024,5,126.994668,5,ประจวบคีรีขันธ์,South,Hot,Q2
80,2024,5,216.37451679999998,5,นครศรีธรรมราช,South,Hot,Q2
81,2024,5,264.9835216,5,กระบี่,South,Hot,Q2
82,2024,5,257.4369309,5,พังงา,South,Hot,Q2
83,2024,5,277.049548,5,ภูเก็ต,South,Hot,Q2
84,2024,5,226.7334083,5,สุราษฎร์ธานี,South,Hot,Q2
85,2024,5,258.4891287,5,ระนอง,South,Hot,Q2
86,2024,5,234.25070339999996,5,ชุมพร,South,Hot,Q2
90,2024,5,136.5825895,5,สงขลา,South,Hot,Q2
91,2024,5,175.9231184,5,สตูล,South,Hot,Q2
92,2024,5,295.8732758,5,ตรัง,South,Hot,Q2
93,2024,5,209.5741676,5,พัทลุง,South,Hot,Q2
94,2024,5,79.47416417,5,ปัตตานี,South,Hot,Q2
