year,province,events,districts_affected,subdistricts_affected,villages_affected,affected_people,affected_households,evacuated_people,evacuated_households,deaths,missing,injured,housing_units,business_sites,agriculture_rai,livestock_head,fisheries_units,transport_sites,infrastructure_sites,total_damage_thb,province_code,region_en
2021,กระบี่,19.0,6.0,43.0,136.0,3875.0,2961.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,217.0,0.0,21.0,14.0,4.0,,81,South
2021,กรุงเทพมหานคร,15.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,,10,Central
2021,กาญจนบุรี,63.0,12.0,101.0,634.0,39417.0,15589.0,0.0,0.0,1.0,0.0,0.0,3941.0,0.0,95296.0,224.0,55.0,197.0,8.0,,71,Central
2021,กาฬสินธุ์,29.0,13.0,49.0,177.0,22445.0,9203.0,7.0,4.0,0.0,0.0,0.0,23.0,0.0,25797.0,849.0,142.0,83.0,2.0,,46,Northeast
2021,กำแพงเพชร,62.0,11.0,180.0,779.0,38493.0,15161.0,30.0,0.0,0.0,0.0,1.0,2484.0,0.0,144615.0,200.0,1137.0,202.0,53.0,,62,North
2021,ขอนแก่น,24.0,21.0,112.0,1049.0,89467.0,38489.0,200.0,180.0,14.0,1.0,0.0,7733.0,0.0,346339.0,992.0,1543.0,143.0,44.0,,40,Northeast
2021,จันทบุรี,62.0,10.0,157.0,628.0,48386.0,11963.0,0.0,0.0,1.0,0.0,0.0,858.0,0.0,7116.0,18000.0,4.0,71.0,9.0,,22,East
2021,ฉะเชิงเทรา,24.0,6.0,24.0,107.0,14549.0,6557.0,0.0,0.0,0.0,0.0,0.0,4424.0,0.0,201.0,0.0,0.0,0.0,0.0,,24,East
2021,ชลบุรี,30.0,7.0,35.0,109.0,4680.0,1455.0,175.0,0.0,0.0,0.0,0.0,126.0,0.0,844.0,0.0,7.0,22.0,3.0,,20,East
2021,ชัยนาท,35.0,8.0,98.0,466.0,23465.0,10088.0,0.0,0.0,2.0,0.0,0.0,6678.0,0.0,100264.0,0.0,9.0,201.0,7.0,,18,Central
2021,ชัยภูมิ,62.0,16.0,226.0,1798.0,210318.0,99648.0,105.0,35.0,1.0,0.0,0.0,40243.0,0.0,727628.0,0.0,2484.0,864.0,157.0,,36,Northeast
2021,ชุมพร,49.0,8.0,195.0,1190.0,83312.0,29967.0,42.0,12.0,5.0,0.0,0.0,829.0,2.0,546.0,1.0,180.0,1093.0,249.0,,86,South
2021,ตรัง,40.0,9.0,50.0,137.0,4771.0,1703.0,0.0,0.0,1.0,0.0,0.0,171.0,0.0,578.0,8.0,14.0,30.0,2.0,,92,South
2021,ตราด,17.0,5.0,37.0,163.0,18842.0,9994.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,3411.0,0.0,44.0,15.0,1.0,,23,East
2021,ตาก,68.0,9.0,210.0,1349.0,212513.0,68733.0,81.0,9.0,0.0,0.0,1.0,1634.0,0.0,32727.0,1301.0,40.0,1516.0,9.0,,63,North
2021,นครนายก,6.0,4.0,7.0,29.0,150.0,50.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,110.0,0.0,5.0,2.0,2.0,,26,East
2021,นครปฐม,74.0,7.0,164.0,897.0,72419.0,27341.0,19.0,6.0,1.0,0.0,0.0,14012.0,3.0,13297.0,0.0,1449.0,58.0,36.0,,73,Central
