GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
103303,Phra Khanong,Khlong Toei District,Bangkok,Central,3.0,0.4667857142857143,0.0,0.07106367743874364,1.0,0.018800314103231682,3.6199848447961376,1,13.707,100.595
103401,Suan Luang,Suan Luang District,Bangkok,Central,2.0,0.32392857142857145,0.0,0.05701499188856898,1.0,0.018800314103231682,2.904344582233364,1,13.726,100.628
103501,Bang Khun Thian,Chom Thong District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.694,100.45
103502,Bang Kho,Chom Thong District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.702,100.476
103503,Bang Mot,Chom Thong District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.672,100.468
103504,Chom Thong,Chom Thong District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.693,100.468
103602,Si Kan,Don Mueang District,Bangkok,Central,0.0,0.03821428571428571,0.027777777777777776,0.040446697827093404,0.0,0.0,2.0223348913546704,1,13.925,100.593
103701,Thung Phaya Thai,Ratchathewi District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.763,100.53
103702,Thanon Phaya Thai,Ratchathewi District,Bangkok,Central,1.0,0.18107142857142858,0.03333333333333333,0.051698142715291606,54.0,0.1381535296709038,2.942021180441963,1,13.757,100.538
103703,Thanon Phet Buri,Ratchathewi District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.752,100.559
103704,Makkasan,Ratchathewi District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.752,100.528
103801,Lat Phrao,Lat Phrao District,Bangkok,Central,0.0,0.03821428571428571,0.03333333333333333,0.04130761888152131,0.0,0.0,2.0653809440760655,1,13.811,100.612
103802,Chorakhe Bua,Lat Phrao District,Bangkok,Central,0.0,0.03821428571428571,0.027777777777777776,0.040446697827093404,0.0,0.0,2.0223348913546704,1,13.84,100.6
103901,Khlong Toei Nuea,Vadhana District,Bangkok,Central,2.0,0.32392857142857145,0.0,0.05701499188856898,1.0,0.018800314103231682,2.904344582233364,1,13.743,100.56
